"state_abb","district","year","total_votes","dem","other","rep"
"AZ",6,2000,313680,0.425207217546544,0.0355712828360112,0.539221499617444
"AZ",6,2004,292626,0.351650229302933,0.0046202319684512,0.643729538728616
"AZ",6,2008,316473,0.41197511320081,0.0107844903040702,0.57724039649512
"AZ",6,2008,361747,0.373681053332854,0.0161742875545616,0.610144659112584
"AZ",6,2012,313417,0.388176135946678,0.0166519365573661,0.595171927495956
"AZ",6,2016,343997,0.417361197917424,0.0671343064038349,0.515504495678741
"AZ",7,2000,128790,0.575945337370914,0.0409270906126252,0.383127572016461
"AZ",7,2004,186361,0.566277279044435,0.00619764864966382,0.427525072305901
"AZ",7,2008,132995,0.646896499868416,0.0122185044550547,0.340884995676529
"AZ",7,2008,215603,0.571429896615539,0.012411701135884,0.416158402248577
"AZ",7,2012,140907,0.716983542336435,0.0179267176222615,0.265089740041304
"AZ",7,2016,167183,0.70556216840229,0.0717357626074421,0.222702068990268
"AZ",8,2000,248454,0.45905881974128,0.0435251595868853,0.497416020671835
"AZ",8,2004,316833,0.464913692702465,0.00595266275924541,0.52913364453829
"AZ",8,2008,288564,0.383831662993305,0.0106492840409753,0.60551905296572
"AZ",8,2008,347110,0.464302382530034,0.012027887413212,0.523669730056754
"AZ",8,2012,291126,0.368689158646085,0.0145504008573607,0.616760440496555
"AZ",8,2016,332767,0.36359374577407,0.0649463438381811,0.571459910387749
"AZ",9,2008,273817,0.512911908318329,0.0130013841361201,0.47408670754555
"AZ",9,2012,264563,0.511197710942195,0.0228905780475728,0.465911711010232
"AZ",9,2016,290237,0.534590696568666,0.0894303620834008,0.375978941347933
"CA",1,1992,255248,0.468136870807998,0.239610104682505,0.292253024509497
"CA",1,1996,236249,0.481953362765557,0.163890640806945,0.354155996427498
"CA",1,1996,249821,0.455770331557395,0.209313868730011,0.334915799712594
"CA",1,2000,248060,0.500036281544788,0.0902644521486737,0.409699266306539
"CA",1,2000,254102,0.517020723961244,0.0953160541829659,0.38766322185579
"CA",1,2004,291188,0.597297965575505,0.01891561465445,0.383786419770045
"CA",1,2008,304629,0.655994668925152,0.027128080386306,0.316877250688542
"CA",1,2008,326277,0.430211139614499,0.0236853961511231,0.546103464234378
"CA",1,2012,304939,0.401322887528325,0.0349512525455911,0.563725859926084
"CA",1,2016,318397,0.360326887502081,0.0857797026982038,0.553893409799715
"CA",2,1992,262626,0.357249472634088,0.25625033317341,0.386500194192502
"CA",2,1996,248385,0.361277854942931,0.129713952130765,0.509008192926304
"CA",2,1996,256627,0.34967481987476,0.157664626091565,0.492660554033675
"CA",2,2000,245666,0.33322071430316,0.0553963511434224,0.611382934553418
"CA",2,2000,263361,0.341200861175345,0.0670600430587672,0.591739095765888
"CA",2,2004,279762,0.365503535147733,0.0142263781357011,0.620270086716566
"CA",2,2008,293970,0.42620335408375,0.023958227029969,0.549838418886281
"CA",2,2008,356735,0.717210254110194,0.0253689713652992,0.257420774524507
"CA",2,2012,334238,0.68876668721091,0.0422393623705264,0.268993950418564
"CA",2,2016,348791,0.682807182524778,0.0862665607770843,0.230926256698137
"CA",3,1992,243903,0.409101159067334,0.218623797165267,0.372275043767399
"CA",3,1996,228937,0.45212001555013,0.103867002712537,0.444012981737334
"CA",3,1996,235489,0.439540700414881,0.128800071340912,0.431659228244207
"CA",3,2000,239846,0.436275776956881,0.052617095969914,0.511107127073205
"CA",3,2000,260456,0.413467149921676,0.037703105322972,0.548829744755352
"CA",3,2004,303119,0.407994879898654,0.00968596491806848,0.582319155183278
"CA",3,2008,258021,0.553400692191721,0.0197270764782711,0.426872231330008
"CA",3,2008,336055,0.492827066997962,0.0190831857880406,0.488089747213998
"CA",3,2012,241805,0.542738983891979,0.0265627261636443,0.430698289944377
"CA",3,2016,263803,0.526461033422668,0.0722546748899747,0.401284291687358
"CA",4,1992,287716,0.338879311543327,0.253930959696367,0.407189728760305
"CA",4,1996,283307,0.377950421274448,0.10945017242779,0.512599406297762
"CA",4,1996,291062,0.367880382873752,0.133177810913139,0.498941806213109
"CA",4,2000,292239,0.357368455271199,0.0534938868528841,0.589137657875917
"CA",4,2000,326224,0.36943633822159,0.0496100838687528,0.580953577909657
"CA",4,2004,353224,0.374456435576292,0.0116611555273707,0.613882408896338
"CA",4,2008,350888,0.432667973826406,0.0210038530813251,0.546328173092269
"CA",4,2008,382357,0.438344269883904,0.0218853061405964,0.539770423975499
"CA",4,2012,338193,0.394665176393361,0.0275937112832022,0.577741112323437
"CA",4,2016,360284,0.385223878939947,0.0848497296577145,0.529926391402338
"CA",5,1992,236705,0.509397773600051,0.179827211085528,0.310775015314421
"CA",5,1996,209625,0.570914728682171,0.0907429934406679,0.338342277877162
"CA",5,1996,216695,0.55228777775214,0.120408869609359,0.327303352638501
"CA",5,2000,189237,0.602350491711452,0.0488223761737927,0.348827132114756
"CA",5,2000,220741,0.570836410091465,0.0595358361156287,0.369627753792907
"CA",5,2004,205338,0.610593265737467,0.0105776816760658,0.378829052586467
"CA",5,2008,238110,0.696216034605854,0.0197765738524211,0.284007391541724
"CA",5,2008,305705,0.710129045975695,0.0204412750854582,0.269429678938846
"CA",5,2012,286773,0.697150708051316,0.0284057425210881,0.274443549427596
"CA",5,2016,306625,0.687973909498573,0.070401956787607,0.24162413371382
"CA",6,1992,301785,0.560998724257336,0.20186556654572,0.237135709196945
"CA",6,1996,273309,0.569000654936354,0.145000713478151,0.285998631585495
"CA",6,1996,291570,0.53336420070652,0.198549233460233,0.268086565833248
"CA",6,2000,287342,0.622067083823458,0.0748724516429899,0.303060464533552
"CA",6,2000,293025,0.619390836959304,0.07980206467025,0.300807098370446
"CA",6,2004,321057,0.704083698533282,0.0142466913974777,0.28166961006924
"CA",6,2008,239849,0.682062464300456,0.0213175789767729,0.296619956722771
"CA",6,2008,333235,0.759485048089186,0.0204150224316173,0.220099929479196
"CA",6,2012,225831,0.69140640567504,0.0258069087060678,0.282786685618892
"CA",6,2016,248121,0.679857811309804,0.0801423499018624,0.239999838788333
"CA",7,1992,230553,0.607925292665895,0.169323322619962,0.222751384714144
"CA",7,1996,201346,0.65413268701638,0.0968432449614097,0.249024068022211
"CA",7,1996,207403,0.635029387231622,0.123219046976177,0.241751565792202
"CA",7,2000,210722,0.661634760490124,0.0323838991657255,0.30598134034415
"CA",7,2000,215890,0.686933160405762,0.0447357450553523,0.268331094538886
"CA",7,2004,229282,0.671609633551696,0.0100313151490305,0.318359051299273
"CA",7,2008,249594,0.71731291617587,0.0171678806381564,0.265519203185974
"CA",7,2008,296460,0.517455980570735,0.0193685488767456,0.46317547055252
"CA",7,2012,286000,0.507506993006993,0.0243531468531469,0.46813986013986
"CA",7,2016,309549,0.5138637178605,0.0847491027268704,0.401387179412629
"CA",8,1992,247777,0.755522102535748,0.0854800889509519,0.1589978085133
"CA",8,1996,225034,0.736755334749416,0.124234560110917,0.139010105139668
"CA",8,1996,244243,0.678811675257837,0.193110959167714,0.128077365574448
"CA",8,2000,247829,0.767109579589152,0.0871366950599002,0.145753725350948
"CA",8,2000,255484,0.770607944137402,0.0816841759170829,0.147707879945515
"CA",8,2004,288591,0.84551839800964,0.0139436087750484,0.140537993215312
"CA",8,2008,224100,0.422030343596609,0.0245560017849174,0.553413654618474
"CA",8,2008,311690,0.854085790368636,0.02186467323302,0.124049536398345
"CA",8,2012,212678,0.416493478403972,0.0273700147641035,0.556136506831924
"CA",8,2016,232930,0.395973039110462,0.0568067659811961,0.547220194908342
"CA",9,1992,237315,0.786777068453322,0.0893622400606788,0.123860691486
"CA",9,1996,209094,0.750848900494514,0.12326991687949,0.125881182625996
"CA",9,1996,227302,0.690702237551803,0.193500277164301,0.115797485283895
"CA",9,2000,226214,0.786158239543088,0.0938049811240684,0.120036779332844
"CA",9,2000,234362,0.785238221213337,0.0805079321733045,0.134253846613359
"CA",9,2004,266174,0.85899449232457,0.0153358329513777,0.125669674724053
"CA",9,2008,224969,0.568740582035747,0.0178335681805049,0.413425849783748
"CA",9,2008,295767,0.88130859764612,0.0200123746056862,0.0986790277481937
"CA",9,2012,220312,0.57835251824685,0.0203847271142743,0.401262754638876
"CA",9,2016,243453,0.553367590458939,0.0749631345680686,0.371669274972993
"CA",10,1992,300821,0.423673879150724,0.219997938973675,0.3563281818756
"CA",10,1996,286987,0.48220302661793,0.0916592040754459,0.426137769306624
"CA",10,1996,293320,0.471791899631801,0.11127096686213,0.416937133506068
"CA",10,2000,264418,0.552140928378552,0.035069473333888,0.41278959828756
"CA",10,2000,315145,0.513328785162386,0.0383537736597439,0.44831744117787
"CA",10,2004,289508,0.58503737375133,0.0107009132735538,0.404261712975116
"CA",10,2008,221879,0.503229237557407,0.0194700715254711,0.477300690917122
"CA",10,2008,314370,0.649355854566275,0.0178261284473709,0.332818016986354
"CA",10,2012,215524,0.505386871067723,0.0252454483027412,0.469367680629535
"CA",10,2016,243067,0.478612892741507,0.0723545359921339,0.449032571266359
"CA",11,1992,195757,0.405768376098939,0.209473990712976,0.384757633188085
"CA",11,1996,185980,0.457667491128078,0.0890418324551027,0.453290676416819
"CA",11,1996,189375,0.449462706270627,0.105372937293729,0.445164356435644
"CA",11,2000,214301,0.466171413105865,0.0370226923812768,0.496805894512858
"CA",11,2000,238112,0.446655355462975,0.0247026609326703,0.528641983604354
"CA",11,2004,280805,0.452634390413276,0.00821210448531899,0.539153505101405
"CA",11,2008,312134,0.694317184286236,0.0185753554563104,0.287107460257454
"CA",11,2008,315086,0.536942295119428,0.0191693696324178,0.443888335248154
"CA",11,2012,301134,0.676439724508026,0.0239395086572755,0.299620766834698
"CA",11,2016,320522,0.69748410405526,0.0814109483904381,0.221104947554302
"CA",12,1992,242336,0.574590650996963,0.157322890532154,0.268086458470883
"CA",12,1996,221629,0.63657734321772,0.100550920682763,0.262871736099518
"CA",12,1996,230401,0.612341092269565,0.13479542189487,0.252863485835565
"CA",12,2000,232591,0.673594421108297,0.0532479760609826,0.27315760283072
"CA",12,2000,246061,0.668492772117483,0.0451229573154624,0.286384270567055
"CA",12,2004,270075,0.717167453485143,0.00979727853374063,0.273035267981116
"CA",12,2008,288865,0.743773042770845,0.0172606580928808,0.238966299136275
"CA",12,2008,339472,0.849716618749116,0.0207616533911486,0.129521727859735
"CA",12,2012,320387,0.841048481992091,0.0340931436044534,0.124858374403456
"CA",12,2016,362965,0.851930626919951,0.0622263854641632,0.0858429876158858
"CA",13,1992,214955,0.543504454420693,0.200162824777279,0.256332720802028
"CA",13,1996,185645,0.622871609792884,0.101958038191171,0.275170352015944
"CA",13,1996,190154,0.608101854286526,0.123252731996172,0.268645413717303
"CA",13,2000,188752,0.670069721115538,0.0342883784012885,0.295641900483174
"CA",13,2000,192906,0.663504504784714,0.0407970721491296,0.295698423066157
"CA",13,2004,216535,0.70934490959891,0.010982058327753,0.279673032073337
"CA",13,2008,236407,0.743793542492397,0.0180620709200658,0.238144386587538
"CA",13,2008,322306,0.878615353111639,0.0209862677083269,0.100398379180034
"CA",13,2012,306314,0.875222810579993,0.0350849128671886,0.0896922765528183
"CA",13,2016,339391,0.860146556626428,0.0728422380086685,0.0670112053649036
"CA",14,1992,268505,0.535286121301279,0.197545669540604,0.267168209158116
"CA",14,1996,237995,0.577999537805416,0.114002395008298,0.307998067186285
"CA",14,1996,248318,0.553971117679749,0.150834816646397,0.295194065673854
"CA",14,2000,241339,0.621677391552961,0.0560663630826348,0.322256245364404
"CA",14,2000,252253,0.615116569475883,0.0493591751138738,0.335524255410243
"CA",14,2004,276171,0.683866155389233,0.0144149820220081,0.301718862588758
"CA",14,2008,287755,0.745071328039478,0.0166878073361019,0.23824086462442
"CA",14,2008,292261,0.731096519891467,0.0201292680172859,0.248774212091247
"CA",14,2012,269882,0.742335539235666,0.0220466722493534,0.235617788514981
"CA",14,2016,298322,0.767653743270694,0.0505661667594076,0.181780089969898
"CA",15,1992,274553,0.462788605478724,0.233805494749648,0.303405899771629
"CA",15,1996,237945,0.527172245687028,0.120452205341571,0.352375548971401
"CA",15,1996,246113,0.509676449435828,0.14964264382621,0.340680906737962
"CA",15,2000,206962,0.603395792464317,0.0343444690329626,0.36225973850272
"CA",15,2000,244231,0.566705291302087,0.0556604198484222,0.377634288849491
"CA",15,2004,230652,0.628683037649793,0.0125860603853424,0.358730901964865
"CA",15,2008,255261,0.683892173109092,0.0193409882434058,0.296766838647502
"CA",15,2008,268331,0.676183519608245,0.0184548188617789,0.305361661529976
"CA",15,2012,260611,0.68010559799855,0.0215647075526359,0.298329694448815
"CA",15,2016,289926,0.686257872698551,0.0764126018363307,0.237329525465119
"CA",16,1992,164993,0.523767674992272,0.205354166540399,0.270878158467329
"CA",16,1996,149897,0.612327131296824,0.0990947117020354,0.288578157001141
"CA",16,1996,153781,0.596861770960002,0.121848602883321,0.281289626156677
"CA",16,2000,169003,0.642089193682952,0.0413365443216984,0.316574261995349
"CA",16,2000,171624,0.638791777373794,0.0281545704563464,0.33305365216986
"CA",16,2004,197694,0.634389511062551,0.0105668356146368,0.355043653322812
"CA",16,2008,161119,0.578590979338253,0.0178377472551344,0.403571273406613
"CA",16,2008,221884,0.695516576229021,0.016157091092643,0.288326332678336
"CA",16,2012,152089,0.58500614771614,0.0217504224500128,0.393243429833847
"CA",16,2016,172088,0.572404816140579,0.0684010506252615,0.359194133234159
"CA",17,1992,212244,0.527397712067243,0.199379016603532,0.273223271329225
"CA",17,1996,198934,0.552650627846421,0.124739863472307,0.322609508681271
"CA",17,1996,209087,0.525814613055809,0.167241387556376,0.306943999387815
"CA",17,2000,208116,0.598608468354187,0.0712054815583617,0.330186050087451
"CA",17,2000,214509,0.595737241794051,0.0744397670960193,0.32982299110993
"CA",17,2004,227178,0.656001021225647,0.0138393682486861,0.330159610525667
"CA",17,2008,237275,0.721441365504162,0.0207860077968602,0.257772626698978
"CA",17,2008,243338,0.697614018361292,0.0207694646951976,0.281616516943511
"CA",17,2012,227806,0.719305022694749,0.0252451647454413,0.25544981255981
"CA",17,2016,249775,0.735866279651686,0.0602462215994395,0.203887498748874
"CA",18,1992,181900,0.408779549202859,0.217949422759758,0.373271028037383
"CA",18,1996,169408,0.457829618435965,0.0922683698526634,0.449902011711371
"CA",18,1996,172308,0.450124196206793,0.107545790096803,0.442330013696404
"CA",18,2000,146703,0.531059351206178,0.0251528598597166,0.443787788934105
"CA",18,2000,184717,0.439477687489511,0.0344472896376619,0.526075022872827
"CA",18,2004,161598,0.493595217762596,0.0103776036832139,0.49602717855419
"CA",18,2008,176324,0.591519021800776,0.0192599986388694,0.389220979560355
"CA",18,2008,337912,0.705168801344729,0.0209758753758375,0.273855323279434
"CA",18,2012,319615,0.68232717488228,0.028396664737262,0.289276160380458
"CA",18,2016,335138,0.734070741008182,0.0636006659943068,0.202328592997511
"CA",19,1992,223225,0.381001231940867,0.183904132601635,0.435094635457498
"CA",19,1996,214721,0.399327499406206,0.0806208987476772,0.520051601846117
"CA",19,1996,218839,0.391813159445985,0.09792130287563,0.510265537678385
"CA",19,2000,216847,0.389947751179403,0.0314645810179527,0.578587667802644
"CA",19,2000,229514,0.381941842327701,0.042088935751196,0.575969221921103
"CA",19,2004,247829,0.378962913944696,0.00931287298903679,0.611724213066267
"CA",19,2008,230144,0.689081618464961,0.017793207730812,0.293125173804227
"CA",19,2008,270536,0.460319513853979,0.0184448650087234,0.521235621137298
"CA",19,2012,232442,0.712134640039236,0.0226680204093925,0.265197339551372
"CA",19,2016,257624,0.729078036207807,0.0559924541191814,0.214929509673012
"CA",20,1992,119184,0.46937508390388,0.155792723855551,0.374832192240569
"CA",20,1996,118781,0.523349693974626,0.0687904631212062,0.407859842904168
"CA",20,1996,120111,0.517554595332651,0.079101830806504,0.403343573860845
"CA",20,2000,105692,0.546777428755251,0.0174469212428566,0.435775650001892
"CA",20,2000,128084,0.496486680615846,0.0273492395615377,0.476164079822616
"CA",20,2004,115602,0.506340720748776,0.00884932786629989,0.484809951384924
"CA",20,2008,129561,0.595534149937095,0.0174203656964673,0.387045484366437
"CA",20,2008,251041,0.721228803263212,0.0206340796921618,0.258137117044626
