"year","state_abb","district","total_votes","dem","other","rep"
1976,"AK",1,118208,0.00000244712508270043,0.0000000208972487614355,0.00000599164198905789
1976,"AL",1,157170,0.00000238462573583259,0.000000000283373173375006,0.00000397762827090114
1976,"AL",2,156362,0.0000027112682128344,0.00000000020450671409866,0.00000368394304643045
1976,"AL",3,108048,0.0000091598088132737,0.0000000953370478250679,NA
1976,"AL",4,176022,0.00000456658813698472,0.000000000032274988599793,0.00000111448763133945
1976,"AL",5,113560,0.00000880537476732092,0.000000000542809290562525,NA
1976,"AL",6,162518,0.00000262697775447084,0.000000038656524376149,0.00000348753029369267
1976,"AL",7,110501,0.00000904928237337861,0.000000000409484613623055,NA
1976,"AR",1,168782,0.00000407959830688051,NA,0.00000184520410095919
1976,"AR",2,167607,0.00000515376090656789,0.000000000284777505543191,0.000000812292237373759
1976,"AR",3,1,NA,NA,1
1976,"AR",4,1,1,NA,NA
1976,"AZ",1,168119,0.00000242018130663436,0.000000117393157935395,0.00000341059320238045
1976,"AZ",2,182128,0.00000319722806323793,0.000000129904159432857,0.00000216351172005082
1976,"AZ",3,187165,0.00000253645818040588,0.00000054663422802116,0.00000225978686921568
1976,"AZ",4,191590,0.00000251820319556076,0.000000163485015162656,0.0000025377908852628
1976,"CA",1,217016,0.00000340744840208943,NA,0.00000120050677172264
1976,"CA",2,216563,0.0000018940273895417,0.000000137400088914732,0.0000025861664780366
1976,"CA",3,191854,0.00000379752124791885,NA,0.0000014147756028114
1976,"CA",4,151037,0.00000332471580518648,NA,0.0000032961784127866
1976,"CA",5,167754,0.00000368659637940297,NA,0.00000227451334078254
1976,"CA",6,130916,0.00000504656075406694,0.000000528852354235173,0.00000206307263828348
1976,"CA",7,196816,0.00000379651894928501,0.000000100396168972484,0.00000118397261444717
1976,"CA",8,196954,0.00000315388580877569,0.000000160811002559569,0.00000176263088954921
1976,"CA",9,164391,0.00000430714451404678,0.000000125294174509548,0.00000165061938639912
1976,"CA",10,155443,0.00000463494581840899,0.000000221955268448884,0.00000157632524047755
1976,"CA",11,176194,0.00000346659164904528,0.000000197813928123428,0.00000201115658726368
1976,"CA",12,196857,0.00000158765800100684,0.000000128997535140155,0.00000336317398477429
1976,"CA",13,202611,0.00000329566353519049,0.000000102067618780615,0.00000153783502950363
1976,"CA",14,169959,0.00000426797537724194,NA,0.00000161579659129164
1976,"CA",15,128435,0.00000562181948203668,NA,0.00000216422014890505
1976,"CA",16,195705,0.00000272960260572833,NA,0.0000023801288778822
1976,"CA",17,158168,0.00000415307660042472,NA,0.00000216931478089135
1976,"CA",18,158341,0.00000226082038727341,NA,0.00000405466328404355
1976,"CA",19,192923,0.00000184640844061092,NA,0.00000333700670429145
1976,"CA",20,217351,0.00000150700262477282,NA,0.00000309385037337303
1976,"CA",21,153109,0.0000043441434417052,0.000000306197763333169,0.00000188095349350972
1976,"CA",22,183312,0.00000203977055038627,NA,0.00000341540968876883
1976,"CA",23,217053,0.00000277252051848677,NA,0.00000183464915896528
1976,"CA",24,159774,0.00000424228850098687,NA,0.00000201655211137809
1976,"CA",25,80625,0.00000891731025779701,0.000000757185265308575,0.00000272860525208822
1976,"CA",26,171712,0.00000200417086879274,NA,0.00000381953393925795
1976,"CA",27,209611,0.00000216192490126373,NA,0.00000260881709223852
1976,"CA",28,142915,0.00000561144181171577,NA,0.00000138572433599441
1976,"CA",29,96602,0.00000884220680528461,0.000000346658656184884,0.00000116288709023751
1976,"CA",30,111270,0.00000668499424631082,NA,0.0000023021541315089
1976,"CA",31,83155,0.0000120257350730563,NA,NA
1976,"CA",32,127428,0.00000566785281941502,NA,0.00000217971600376356
1976,"CA",33,173205,0.00000259356908516984,NA,0.00000317993629862393
1976,"CA",34,199135,0.0000025466811547257,NA,0.00000247503777966554
1976,"CA",35,164237,0.00000324285141117564,NA,0.00000284591056085259
1976,"CA",36,147556,0.00000417172398906862,0.00000033794500838453,0.00000226741902336606
1976,"CA",37,188007,0.00000138686480601726,0.000000151414708835079,0.00000378067137527409
1976,"CA",38,162409,0.00000391698224144893,NA,0.00000224031199717085
1976,"CA",39,209402,0.00000197825740811474,NA,0.00000279724616873744
1976,"CA",40,250644,0.00000162572547440578,NA,0.00000236399700049887
1976,"CA",41,223374,0.00000189574527811464,NA,0.00000258105148426594
1976,"CA",42,135627,0.00000560281464362484,NA,0.00000177034851710274
1976,"CA",43,267051,0.00000131071133945239,NA,0.00000243389175134301
1976,"CO",1,193610,0.00000274876514652976,0.0000000317194964840192,0.00000238453782483395
1976,"CO",2,240278,0.00000210172540507293,NA,0.00000206012045680373
