"year","state","total_votes","dem","rep","other"
1984,"MN",2084449,0.497188465632884,0.495384151878986,0.00742738248812996
1984,"MO",2122771,0.39975249332123,0.60024750667877,NA
1984,"MS",941104,0.374232815926826,0.618823211887315,0.00694397218585831
1984,"MT",384377,0.381765818454278,0.604744820839957,0.0134893607057654
1984,"NC",2175361,0.378919636786722,0.618968989514844,0.00211137369843442
1984,"ND",308971,0.337989649514032,0.648397422411812,0.0136129280741558
1984,"NE",652090,0.288098268643899,0.705506908555568,0.00639482280053367
1984,"NH",388904,0.309451689877193,0.686673317836793,0.00387499228601403
1984,"NJ",3217862,0.391975479371086,0.600905197301811,0.00711932332710352
1984,"NM",514370,0.392264323347007,0.597042984621965,0.0106926920310282
1984,"NV",282717,0.324193451401932,0.667699501621763,0.00810704697630493
1984,"NY",6806810,0.440923868890126,0.49605013214707,0.0630259989628034
1984,"OH",4563235,0.400031994845762,0.586986863486101,0.0129811416681367
1984,"OK",1255676,0.306671466206251,0.68610851843947,0.00722001535427929
1984,"OR",1226527,0.437396812300096,0.559058218856984,0.00354496884291989
1984,"PA",4844903,0.459891766666949,0.533410679223093,0.00669755410995844
1984,"RI",410489,0.480173646553257,0.516652090555411,0.00317426289133205
1984,"SC",968529,0.355651715126754,0.635540081918043,0.0088082029552032
1984,"SD",317867,0.365287997810405,0.630033945014739,0.00467805717485615
1984,"TN",1711993,0.415722494192441,0.578397224755008,0.00588028105255103
1984,"TX",5397571,0.361139482926672,0.636106129961051,0.00275438711227699
1984,"UT",629656,0.246752194849251,0.745017914543814,0.00822989060693458
1984,"VA",2146635,0.370929384827882,0.622871610683698,0.00619900448842025
1984,"VT",234561,0.408124112704158,0.579230988953833,0.0126448983420091
1984,"WA",1874910,0.425808172125595,0.560917590711021,0.0132742371633838
1984,"WI",2211689,0.450217006098054,0.541931528347792,0.00785146555415341
1984,"WV",735742,0.445978345670085,0.551121181066189,0.0029004732637256
1984,"WY",188968,0.282428771008848,0.705098217687651,0.0124730113035011
1988,"AK",200116,0.362709628415519,0.595909372563913,0.00919466709308601
1988,"AL",1378476,0.398632983091472,0.591650489381027,0.00321224308584263
1988,"AR",827738,0.421917321664585,0.563678361993771,0.0104211719167176
1988,"AZ",1171873,0.387438741228785,0.599502676484568,0.00141824242046706
1988,"CA",9887065,0.475594425646033,0.511265678945167,0.00596729160777238
1988,"CO",1372394,0.452824043241227,0.530588883367313,0.00520477355628194
1988,"CT",1443394,0.468745193620037,0.519775612202905,0.0017257935116815
1988,"DC",192877,0.826469719043743,0.143044530970515,0.0189239774571359
1988,"DE",249891,0.434777563017476,0.558799636641576,0.00177277292899704
1988,"FL",4302313,0.385072169319155,0.60871559089262,0.00154684236130658
1988,"GA",1809672,0.394984284444916,0.597528723437175,0.00281763767135702
1988,"HI",354461,0.542694400794446,0.447510445436875,0.00415560527110176
1988,"IA",1225614,0.547119239825916,0.44496472788333,0.00571387076192015
1988,"ID",408968,0.360106414193776,0.620784511257604,0.00611783807046028
1988,"IL",4559120,0.486045552650512,0.506882687887136,0.00379393391707172
1988,"IN",2168621,0.396861876741026,0.598427756625063,0.0047103666339116
1988,"KS",993044,0.425596448898538,0.557929960807376,0.0164735902940857
1988,"KY",1322517,0.438835946910323,0.55521479118983,0.00434777019879518
1988,"LA",1628202,0.440645571004089,0.54274715299453,0.0140799483110818
1988,"MA",2632801,0.532290514930676,0.453750587302269,0.00474779521885627
1988,"MD",1714358,0.481990342740548,0.511075866300971,0.0029836241905133
1988,"ME",555035,0.438835388759267,0.553354292972515,0.00294576017728612
1988,"MI",3669163,0.456720783459334,0.535676937764825,0.00260495377283593
1988,"MN",2096790,0.529128334263326,0.458957263245246,0.00414967641013168
1988,"MO",2093228,0.478504491627286,0.51831573053676,0.0031797778359548
1988,"MS",931527,0.390671445916221,0.59889836794854,0.00685648403105868
1988,"MT",365674,0.46198526556441,0.520715172530724,0.0034976509131084
1988,"NC",2134370,0.417063114642728,0.57968299779326,0.00266214386446586
1988,"ND",297261,0.429720010361265,0.560312318131205,0.00437662525524707
1988,"NE",661465,0.391910380745769,0.601628204062195,0.00263052466872775
1988,"NH",450525,0.36334498640475,0.624908717607236,0.00175350979412907
1988,"NJ",3099553,0.425981423773041,0.562401094609449,0.00704488679496689
1988,"NM",521387,0.468935742548241,0.518503530007461,0.00526288534236565
1988,"NV",343133,0.386841253974406,0.600466874360671,0.00243345874631703
1988,"NY",6485683,0.501949756101246,0.437643036207598,0.0580333636411154
1988,"OH",4393585,0.441468413607567,0.550017582452598,0.00571993030748239
1988,"OK",1171036,0.412816514607578,0.579287912583388,0.00254902496592761
1988,"OR",1201694,0.512781123979982,0.466113669536504,0.0087801054178518
1988,"PA",4536251,0.483867405044386,0.507045796187204,0.00220688846362338
1988,"RI",404622,0.556378545902101,0.439326087063976,0.00180415301194695
1988,"SC",986009,0.375811985488976,0.615048138505835,0.00413485069608898
1988,"SD",312991,0.465061295692208,0.528497624532335,0.0064410797754568
1988,"TN",1636250,0.415458517952636,0.578904812834225,0.00546249045072574
1988,"TX",5427410,0.433493692203095,0.559535579585843,0.00132807361153847
1988,"UT",647008,0.320464352836441,0.662189648350561,0.00547288441564865
1988,"VA",2191609,0.392314048719457,0.597351991162657,0.0065303619395613
1988,"VT",243328,0.475798099684377,0.510960514203051,0.00866731325618096
1988,"WA",1865253,0.500476879007834,0.484564292350689,0.00502451946197111
1988,"WI",2191608,0.514140302462849,0.477959105825494,0.00790059171165646
1988,"WV",653311,0.521981108537894,0.474605509474048,0.00341338198805776
1988,"WY",176551,0.38013378570498,0.605303849879072,0.00308692672372289
1992,"AK",258506,0.30287111324302,0.394574980851508,0.295807447409344
1992,"AL",1688060,0.408800635048517,0.476454035993981,0.114317026645972
1992,"AR",950653,0.53207952849252,0.3548339930553,0.11308647845218
1992,"AZ",1486975,0.365204525967148,0.384731417811328,0.244583802686663
1992,"CA",11131721,0.460065878402809,0.326146693759213,0.213394945848894
1992,"CO",1569180,0.401280286519074,0.358690526262124,0.239854573726405
1992,"CT",1616156,0.42218572959541,0.357832412217632,0.219981858186957
1992,"DC",227572,0.84640904856485,0.0909514351501942,0.0596690278241611
1992,"DE",289620,0.435239279055314,0.353266349009046,0.21149437193564
1992,"FL",5313392,0.389901215645298,0.409024969360439,0.201029022515184
1992,"GA",2321133,0.434686853359975,0.428778531863534,0.136470852811967
1992,"HI",372842,0.480927577901631,0.366970459336663,0.148207551724323
1992,"IA",1354607,0.432858386233055,0.372721387088654,0.193349805515548
1992,"ID",482114,0.284192120535807,0.420325898024119,0.27288566604579
1992,"IL",5050157,0.485796778199173,0.343374671322099,0.169846402795002
1992,"IN",2305871,0.36793905643464,0.429067801277695,0.202289286781437
1992,"KS",1157236,0.337384941360276,0.388815245982669,0.273645133749728
1992,"KY",1492900,0.445511420724764,0.413408801661196,0.141048295264251
1992,"LA",1790017,0.455845391412484,0.409708958071348,0.124085413713948
1992,"MA",2773664,0.475414109279278,0.290243879575897,0.234342011144825
1992,"MD",1984580,0.498126051859839,0.356294026947767,0.145579921192393
1992,"ME",679499,0.3876679730213,0.303906260347697,0.308425766631003
1992,"MI",4274673,0.437736874843994,0.363756479150569,0.198292828480681
1992,"MN",2347948,0.434846512784781,0.318508331530341,0.243726862775496
1992,"MO",2391270,0.440716857569409,0.339216817841565,0.220066324589026
1992,"MS",981793,0.407680641438674,0.496838946702615,0.0954804118587116
1992,"MT",410583,0.376311245229345,0.351224965475921,0.272463789294735
1992,"NC",2611850,0.426533683021613,0.434428087371021,0.139033635162816
1992,"ND",308133,0.321835051747135,0.442159716745691,0.236005231507174
1992,"NE",737546,0.294034541574356,0.465975003592996,0.239990454832648
1992,"NH",537215,0.389117950913508,0.376914270822669,0.233967778263824
1992,"NJ",3343594,0.429539591230275,0.405810334627948,0.163490244329904
1992,"NM",569986,0.458988466383385,0.373384609446548,0.167305863652791
1992,"NV",506318,0.373575499982225,0.3472679225309,0.273444752112309
1992,"NY",7079432,0.47276306912758,0.288397430754332,0.236654014050845
1992,"OH",4939967,0.401812805632102,0.383466124368847,0.214712567917964
1992,"OK",1390359,0.340247374958554,0.426457483283095,0.233295141758352
1992,"OR",1462643,0.424788550589583,0.325272127238157,0.248869341322524
1992,"PA",4959810,0.451461648732512,0.361272105181448,0.18726624608604
1992,"RI",453365,0.470479635613689,0.290276046893783,0.239244317492528
1992,"SC",1228912,0.427625411746325,0.469933567252985,0.10244102100069
1992,"SD",336254,0.371409708137301,0.406591445752318,0.221998846110381
1992,"TN",1982638,0.470847930888039,0.42433364033172,0.104737223840156
1992,"TX",6154018,0.37078458334051,0.405600211114105,0.223346763041642
1992,"UT",743998,0.246545017594133,0.433646327006255,0.281096185742435
1992,"VA",2559129,0.405860744026581,0.449573663539431,0.144384280745519
1992,"VT",289701,0.461137517647506,0.304182588254787,0.232712348248712
1992,"WA",2287565,0.434102200374634,0.31965605348919,0.243894709002804
1992,"WI",2531064,0.411315557409848,0.367772209631997,0.220912232958155
1992,"WV",683677,0.484148216189809,0.353930291643569,0.161921492166623
1992,"WY",199884,0.340997778711653,0.396965239839107,0.262036981449241
1996,"AK",241620,0.332671136495323,0.508012581739922,0.15669232679414
1996,"AL",1534349,0.431560876958241,0.501218432051639,0.0664887844942709
1996,"AR",884262,0.537364491519482,0.368008576643574,0.0946269318369442
1996,"AZ",1404405,0.465170659460768,0.442944164966659,0.0900530829782007
1996,"CA",10019469,0.510988656185273,0.382094200800462,0.106832008762141
1996,"CO",1510702,0.444264984093488,0.457964575409313,0.0977704404971993
1996,"CT",1392614,0.528315814719657,0.346908044871012,0.124772550038991
1996,"DC",185726,0.851900110916081,0.0933579574211473,0.0512529209696004
1996,"DE",270810,0.518278497839814,0.365798899597504,0.115922602562682
1996,"FL",5303154,0.480255711978193,0.423245487496686,0.0956404434040573
1996,"GA",2298899,0.458414658495219,0.470156801146984,0.0714285403577974
1996,"HI",360120,0.569288015106076,0.31640286571143,0.114309119182495
1996,"IA",1234075,0.502609646901525,0.399201021007637,0.0981893320908373
1996,"ID",491711,0.33646389850949,0.521841081448249,0.141695020042261
1996,"IL",4311391,0.543152778302873,0.368099529826917,0.0884095179490795
1996,"IN",2135431,0.415571376457493,0.471423801565117,0.112357177544018
1996,"KS",1074300,0.360847994042632,0.542907009215303,0.0952899562505818
1996,"KY",1388708,0.458421784853259,0.44882221460523,0.0922454540479352
1996,"LA",1783959,0.520099957454179,0.399440794323188,0.0804592482226329
1996,"MA",2556459,0.614720987115381,0.280879920233417,0.102590731946024
1996,"MD",1780870,0.542547743518617,0.382694974927985,0.0732765446102186
1996,"ME",605897,0.516239558868917,0.307606738439042,0.176153702692042
1996,"MI",3848844,0.516948205746972,0.384845943353381,0.0965866634241346
1996,"MN",2192492,0.511007565820081,0.349554297119442,0.137955805539997
1996,"MO",2158065,0.475395782796162,0.412413898561906,0.112190318641932
1996,"MS",893857,0.440811002207288,0.492067523104926,0.0671214746877856
1996,"MT",407083,0.412500644831644,0.441315407423056,0.1461839477453
1996,"NC",2515807,0.440355321374016,0.487294136632898,0.071376699405002
1996,"ND",266411,0.401278475738614,0.469387525289872,0.129333998971514
1996,"NE",677415,0.349506580161349,0.536549973059351,0.113943446779301
1996,"NH",496597,0.495705773494403,0.395664895277257,0.10862933122834
1996,"NJ",3075860,0.537202928611835,0.358631082038844,0.10416598934932
1996,"NM",556074,0.491832022356737,0.418561198689383,0.0896067789538802
1996,"NV",464279,0.439334968844165,0.429147129204638,0.131517901951197
1996,"NY",6439129,0.566789390304186,0.270022079073117,0.163188530622698
1996,"OH",4534434,0.473757474472007,0.410168722270519,0.116073803257474
1996,"OK",1206713,0.404491374502471,0.48256296236139,0.112945663136139
1996,"OR",1377760,0.471519713157589,0.390599233538497,0.137881053303914
1996,"PA",4501307,0.492261247677619,0.400143558304288,0.107595194018093
1996,"RI",390247,0.597185884837039,0.268248058281037,0.134566056881923
1996,"SC",1150182,0.440062529234504,0.498476762807973,0.0614607079575232
1996,"SD",323826,0.430271195024488,0.464888551259009,0.104840253716502
1996,"TN",1894105,0.479987117926409,0.45590397575636,0.0640085950884455
1996,"TX",5611644,0.438317719370651,0.487587416450509,0.0731847921928048
1996,"UT",665629,0.332967764325172,0.54371278895601,0.123080574914855
1996,"VA",2416642,0.451477711634574,0.471046187230049,0.0774761011353771
1996,"VT",258449,0.533544335632949,0.310900796675553,0.153388095910605
1996,"WA",2253837,0.498404720483336,0.373013665140824,0.12858161437584
1996,"WI",2196169,0.488109521626068,0.384774122574356,0.127116355799576
1996,"WV",636459,0.515055958042859,0.36757434493031,0.117369697026831
1996,"WY",211571,0.368358612475245,0.498121198084804,0.133520189439952
2000,"AK",285560,0.276663398235047,0.586209553158706,0.115205210813839
2000,"AL",1666272,0.415665029478981,0.564837553532677,0.0190779176508997
2000,"AR",921781,0.45864256260435,0.513071976966329,0.0203030871758042
2000,"AZ",1532016,0.447345850173889,0.51021138160437,0.0342946809954987
2000,"CA",10965822,0.534497368277545,0.416514968052555,0.0448851896374025
2000,"CO",1741368,0.423935090113061,0.507502147736722,0.0685627621502175
2000,"CT",1459525,0.559096281324403,0.384436032270773,0.0531892225210257
2000,"DC",201894,0.851550813793377,0.0895172714394682,0.0562621969944624
2000,"DE",327529,0.549777271630909,0.419162883286671,0.0286875360655087
2000,"FL",5963110,0.488378212040361,0.488468265720404,0.0202147872502771
2000,"GA",2583208,0.432109996562414,0.549595696513792,0.0140646823639444
2000,"HI",367951,0.557916679123035,0.374628686971907,0.0645439202502507
2000,"IA",1353022,0.471919155786085,0.468856382231775,0.0549887584976445
2000,"ID",501615,0.276381288438344,0.671704394804781,0.0122285019387379
2000,"IL",4742108,0.545965212095549,0.425848799732102,0.0277277531426952
2000,"IN",2199302,0.41012102930839,0.566468816015263,0.00706133127692331
2000,"KS",1072216,0.372383922642453,0.580416632469577,0.0403258298701008
2000,"KY",1544106,0.413781825859106,0.565064833631888,0.0184125960264386
2000,"LA",1765656,0.448753324543399,0.525510631742537,0.0176053546104111
2000,"MA",2733964,0.591261260206791,0.32132902993602,0.0833317483331895
2000,"MD",2025212,0.564883083845049,0.401847806550623,0.0303538592502908
2000,"ME",651817,0.49086016473949,0.439718509949879,0.0626049949602419
2000,"MI",4232501,0.512797988706914,0.461462147321406,0.0253025338918998
2000,"MN",2438685,NA,0.455023506520932,0.534935016207505
2000,"MO",2359892,0.470842733481024,0.504228159593744,0.0207687470443563
2000,"MS",994184,0.406981001504752,0.576195150998206,0.0145455971932761
2000,"MT",410986,0.333651267926401,0.584394602249225,0.0680923437781336
2000,"NC",2914990,0.431456711686833,0.559577562873286,0.00592146113708795
2000,"ND",288256,0.330553396980462,0.606585812611012,0.0375777087033748
2000,"NE",263157,0.880766994607782,NA,0.119233005392218
2000,"NH",569081,0.468031791607873,0.480703098504431,0.0444277703876952
2000,"NJ",3187226,0.561256089150879,0.4029124385908,0.0358314722583212
2000,"NM",598605,0.479085540548442,0.478474118993326,0.0401149338879562
2000,"NV",609426,0.459412627620088,0.494850892479153,0.037947183087036
2000,"NY",6960215,0.566392704823055,0.324498165645745,0.104568896219442
2000,"OH",4701998,0.464404280903565,0.499864738351654,0.0357309807447813
2000,"OK",1234229,0.384269045695734,0.603078521084823,0.00534908837825071
2000,"OR",1533950,0.469599400241207,0.465189217379967,0.0589289090257179
2000,"PA",4912185,0.506081713127661,0.464381329286254,0.0262750690375057
2000,"RI",409112,0.609877001896791,0.319117992139072,0.0646448894190344
2000,"SC",1383902,0.409015233737649,0.568603846226106,0.0199898547729536
2000,"SD",316269,0.375642253904113,0.602967726840127,0.0108863024830129
2000,"TN",2076181,0.472848947177534,0.51149153180768,0.0154533732848918
2000,"TX",6407637,0.37981958091571,0.592985994681035,0.027084555507748
2000,"UT",770754,0.263447221811369,0.668301429509286,0.0561592933672741
2000,"VA",2739447,0.444356105447559,0.52473729186949,0.0278906655248304
2000,"VT",294308,0.506347092161953,0.406971607975318,0.0774868505103497
2000,"WA",2487433,0.501582153167543,0.445786479475025,0.0497484756373337
2000,"WI",2598607,0.478328196606874,0.476131635141443,0.0455401682516825
2000,"WV",648124,0.455926643666953,0.51915219927051,0.0199946306570965
2000,"WY",213726,0.282983820405566,0.692227431384109,0.0120434575110188
2004,"AK",312598,0.355168619121044,0.610653299125394,0.031650874285824
2004,"AL",1883415,0.368444023223772,0.624606897577008,0.00647228571504422
2004,"AR",1054945,0.445476304451891,0.543059590784354,0.0114641047637555
2004,"AZ",2012585,0.443968329287956,0.548694340860138,0.00589093131470224
2004,"CA",12421353,0.543055575346744,0.443576959772418,0.0116885817511184
2004,"CO",2129630,0.470378422542883,0.517110953545921,0.0125106239111958
2004,"CT",1578769,0.543137089719902,0.43947277910828,0.0173825303131744
