year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,special,candidate,party,writein,candidatevotes,totalvotes,version
1976,Alaska,AK,2,94,81,US House,0,gen,FALSE,,,TRUE,292,118208,20171005
2014,Alaska,AK,2,94,81,US House,0,gen,FALSE,,,TRUE,1277,279741,20171005
1994,Alaska,AK,2,94,81,US House,0,gen,FALSE,Joni (Jonni) Whitmore,green,FALSE,21277,208240,20171005
2000,Alaska,AK,2,94,81,US House,0,gen,FALSE,"Leonard J. \Len\"" Karpinski""",libertarian,FALSE,4802,274393,20171005
1982,Alaska,AK,2,94,81,US House,0,gen,FALSE,Don Young,republican,FALSE,128274,181084,20171005
2000,Alaska,AK,2,94,81,US House,0,gen,FALSE,Don Young,republican,FALSE,190862,274393,20171005
2016,Alaska,AK,2,94,81,US House,0,gen,FALSE,Steve Lindbeck,democrat,FALSE,111019,308198,20171005
2000,Alaska,AK,2,94,81,US House,0,gen,FALSE,Jim Dore,independence,FALSE,10085,274393,20171005
2006,Alaska,AK,2,94,81,US House,0,gen,FALSE,Diane E. Benson,democrat,FALSE,93879,234645,20171005
1976,Alaska,AK,2,94,81,US House,0,gen,FALSE,Eben Hopson,democrat,FALSE,34194,118208,20171005
2004,Alaska,AK,2,94,81,US House,0,gen,FALSE,Timothy A. Feller,green,FALSE,11434,299996,20171005
2002,Alaska,AK,2,94,81,US House,0,gen,FALSE,Rob Clift,libertarian,FALSE,3797,227725,20171005
2014,Alaska,AK,2,94,81,US House,0,gen,FALSE,Forrest Dunbar,democrat,FALSE,114602,279741,20171005
1992,Alaska,AK,2,94,81,US House,0,gen,FALSE,,,TRUE,311,239116,20171005
2016,Alaska,AK,2,94,81,US House,0,gen,FALSE,Jim C. McDermott,libertarian,FALSE,31770,308198,20171005
1978,Alaska,AK,2,94,81,US House,0,gen,FALSE,,,TRUE,200,124187,20171005
1992,Alaska,AK,2,94,81,US House,0,gen,FALSE,Don Young,republican,FALSE,111849,239116,20171005
2012,Alaska,AK,2,94,81,US House,0,gen,FALSE,Sharon M. Cissna,democrat,FALSE,82927,289804,20171005
1982,Alaska,AK,2,94,81,US House,0,gen,FALSE,,,TRUE,799,181084,20171005
2000,Alaska,AK,2,94,81,US House,0,gen,FALSE,Clifford Mark Greene,democrat,FALSE,45372,274393,20171005
1996,Alaska,AK,2,94,81,US House,0,gen,FALSE,,,TRUE,222,233700,20171005
1986,Alaska,AK,2,94,81,US House,0,gen,FALSE,,,TRUE,243,180277,20171005
